Date,Price,Open,High,Low,Volume,Change %,Vol.
6/3/2017,0.110658,0.11156,0.115369,0.109492,1800000000,-0.81%,1.80B
6/4/2017,0.111561,0.109528,0.112764,0.108458,881320000,1.86%,881.32M
6/5/2017,0.109529,0.109377,0.110368,0.107641,867190000,0.14%,867.19M
6/6/2017,0.109381,0.105055,0.110547,0.104848,1460000000,4.11%,1.46B
6/7/2017,0.105067,0.104619,0.106787,0.101238,1870000000,0.43%,1.87B
6/8/2017,0.10462,0.106896,0.109466,0.102336,1970000000,-2.13%,1.97B
6/9/2017,0.106898,0.114316,0.119318,0.102769,2890000000,-6.50%,2.89B
6/10/2017,0.114332,0.12448,0.124591,0.11355,1880000000,-8.16%,1.88B
6/11/2017,0.124491,0.128139,0.130334,0.124491,1480000000,-2.89%,1.48B
6/12/2017,0.128195,0.123534,0.13188,0.120343,2610000000,3.77%,2.61B
6/13/2017,0.123542,0.118104,0.128475,0.117043,2590000000,4.60%,2.59B
6/14/2017,0.118103,0.108515,0.120265,0.107049,2600000000,8.84%,2.60B
6/15/2017,0.108516,0.109738,0.111077,0.108054,1380000000,-1.10%,1.38B
6/16/2017,0.109726,0.108039,0.110491,0.106864,1350000000,1.56%,1.35B
6/17/2017,0.108036,0.106355,0.109153,0.104232,1340000000,1.59%,1.34B
6/18/2017,0.106344,0.109912,0.109921,0.103862,909920000,-3.25%,909.92M
6/19/2017,0.109916,0.105536,0.110378,0.104056,1080000000,4.15%,1.08B
6/20/2017,0.105535,0.104966,0.107421,0.103654,1320000000,0.55%,1.32B
6/21/2017,0.104962,0.103762,0.107066,0.103471,1480000000,1.18%,1.48B
6/22/2017,0.103742,0.101142,0.103773,0.099419,1210000000,2.57%,1.21B
6/23/2017,0.101142,0.099662,0.102505,0.098722,1190000000,1.50%,1.19B
6/24/2017,0.099647,0.10283,0.103175,0.098383,1140000000,-3.11%,1.14B
6/25/2017,0.102841,0.1054,0.106382,0.102379,872380000,-2.43%,872.38M
6/26/2017,0.105397,0.10704,0.107614,0.104476,1100000000,-1.54%,1.10B
6/27/2017,0.107041,0.102729,0.108327,0.101804,1690000000,4.19%,1.69B
6/28/2017,0.102732,0.101311,0.103302,0.100458,1100000000,1.39%,1.10B
6/29/2017,0.101326,0.102801,0.103043,0.098016,1210000000,-1.42%,1.21B
6/30/2017,0.102781,0.103766,0.104522,0.101611,1060000000,-0.93%,1.06B
7/1/2017,0.103751,0.096138,0.104652,0.095731,1750000000,7.93%,1.75B
7/2/2017,0.096127,0.095399,0.096931,0.093895,857550000,0.76%,857.55M
7/3/2017,0.095399,0.092562,0.095668,0.091761,1130000000,3.07%,1.13B
7/4/2017,0.092559,0.098408,0.099426,0.08911,1950000000,-5.95%,1.95B
7/5/2017,0.098411,0.097992,0.099162,0.096074,1090000000,0.44%,1.09B
7/6/2017,0.097979,0.096752,0.099475,0.092184,1560000000,1.25%,1.56B
7/7/2017,0.09677,0.099114,0.100706,0.096612,963920000,-2.36%,963.92M
7/8/2017,0.099108,0.095084,0.099769,0.094115,1120000000,4.23%,1.12B
7/9/2017,0.095087,0.101282,0.101473,0.094165,1000000000,-6.12%,1.00B
7/10/2017,0.101281,0.101741,0.102359,0.100365,722190000,-0.46%,722.19M
7/11/2017,0.101753,0.100429,0.102456,0.097209,1420000000,1.32%,1.42B
7/12/2017,0.10043,0.099594,0.102518,0.098351,1100000000,0.83%,1.10B
7/13/2017,0.099601,0.099011,0.101761,0.097004,1710000000,0.60%,1.71B
7/14/2017,0.099007,0.105207,0.106498,0.096634,1590000000,-5.90%,1.59B
7/15/2017,0.10521,0.10971,0.110297,0.10453,1250000000,-4.11%,1.25B
7/16/2017,0.109723,0.112592,0.1128,0.107946,1290000000,-2.55%,1.29B
7/17/2017,0.112591,0.112896,0.114951,0.110899,1770000000,-0.27%,1.77B
7/18/2017,0.112895,0.105254,0.115271,0.105239,2030000000,7.27%,2.03B
